filter,code,description
managementType,1,予防
managementType,2,事後
function,0501,港湾水域施設
function,0502,港湾外郭施設
function,0503,港湾係留施設
function,0504,港湾臨港交通施設
function,0505,港湾航行補助施設
function,0506,港湾荷さばき施設
function,0507,港湾旅客施設
function,0508,港湾保管施設
function,0509,港湾船舶役務用施設
function,0510,港湾公害防止施設
function,0511,港湾マリーナ及びPBS
function,0512,港湾廃棄物処理施設
function,0513,港湾環境整備施設
function,0514,港湾厚生施設
function,0515,港湾管理施設
function,0801,漁港水域施設
function,0802,漁港外郭施設
function,0803,漁港係留施設
function,0804,漁港輸送施設
function,0805,漁港航行補助施設
function,0806,漁船漁具保全施設
function,0807,漁港補給施設
function,0808,増殖及び養殖用施設
function,0809,漁獲物の処理、保蔵及び加工施設
function,0810,漁業用通信施設属性
function,0811,漁港浄化施設属性
function,0812,漁港廃油処理施設
function,0813,漁港環境整備施設
function,0814,漁港厚生施設
function,0815,漁港管理施設
function,0816,漁港施設用地
function,0101,揚水機場
function,0102,排水機場
function,9001,上水
function,9002,下水
function,9003,ガス
function,9004,電力
function,9005,通信
function,9006,熱供給
function,0701,園路広場
function,0702,修景施設
function,0703,休養施設
function,0704,遊戯施設
function,0705,運動施設
function,0706,教養施設
function,0707,便益施設
function,0708,管理施設
function,0709,その他施設
facilityName,1010,舗装
facilityName,1020,縁石
facilityName,1030,橋梁
facilityName,1040,階段
facilityName,1050,カルバート
facilityName,1060,デッキ
facilityName,1070,その他
facilityName,2010,植栽
facilityName,2020,芝生
facilityName,2030,花壇
facilityName,2040,いけがき
facilityName,2050,日陰たな
facilityName,2060,噴水
facilityName,2070,水流
facilityName,2080,池
facilityName,2090,滝
facilityName,2100,つき山
facilityName,2110,彫像
facilityName,2120,灯籠
facilityName,2130,石組
facilityName,2140,飛石
facilityName,2150,その他
facilityName,3010,休憩所
facilityName,3020,四阿
facilityName,3030,パーゴラ
facilityName,3040,シェルター
facilityName,3050,ベンチ
facilityName,3060,野外卓
facilityName,3070,ピクニック場
facilityName,3080,キャンプ場
facilityName,3090,その他
facilityName,4010,踏み板式ぶらんこ
facilityName,4020,ゆりかご型ぶらんこ
facilityName,4030,すべり台
facilityName,4040,ジャングルジム
facilityName,4050,鉄棒
facilityName,4060,回転塔
facilityName,4070,シーソー
facilityName,4080,複合遊具
facilityName,4090,健康器具系施設
facilityName,4100,フィールドアスレチック遊具
facilityName,4110,ラダー
facilityName,4120,スプリング遊具
facilityName,4130,つり輪
facilityName,4140,空気膜構造遊具
facilityName,4150,砂場
facilityName,4160,石の山・人工的な築山
facilityName,4170,象形遊具
facilityName,4180,徒渉池
facilityName,4190,舟遊場
facilityName,4200,魚釣場
facilityName,4210,メリーゴーラウンド
facilityName,4220,遊戯用電車
facilityName,4230,野外ダンス場
facilityName,4240,その他
facilityName,5010,野球場
facilityName,5020,バックネット
facilityName,5030,スコアボード
facilityName,5040,バックスクリーン
